word,group,count
fiscal,1,1764
military,1,1045
firmfixedprice,1,562
current,1,503
previously,1,363
good,1,361
competitively,1,292
nuclear,1,265
great,2,259
important,2,254
strategic,2,239
competitive,2,223
complete,2,216
maximum,2,207
operational,2,198
cumulative,2,183
technical,2,183
long,2,178
inaudible,3,174
foreign,3,167
back,3,163
critical,3,161
total,3,160
innovative,3,159
procured,3,158
oneyear,3,158
future,3,157
high,3,144
full,3,143
individual,4,142
strong,4,142
international,4,138
forward,4,137
small,4,135
solesource,4,131
multiple,4,126
additional,4,125
potential,4,124
joint,4,115
civilian,4,114
naval,5,111
american,5,109
advanced,5,109
national,5,107
ago,5,107
electronic,5,103
large,5,102
costplusfixedfee,5,101
commercial,5,101
technological,5,100
ll,5,100
primarily,6,100
ahead,6,98
