word,group,count
brown,1,953
cs,1,653
research,1,611
computer,1,561
science,1,552
students,1,496
work,1,407
data,1,389
professor,2,364
award,2,256
university,2,236
department,2,219
learning,2,216
people,2,214
faculty,2,194
year,2,189
program,3,189
years,3,186
time,3,178
systems,3,174
teaching,3,157
undergraduate,3,150
design,3,134
world,3,133
project,4,126
robots,4,124
computing,4,123
john,4,123
student,4,122
field,4,121
working,4,119
im,5,117
impact,5,117
things,5,117
explains,5,117
school,5,116
make,5,113
language,5,111
technology,5,111
universitys,6,103
programming,6,102
phd,6,99
