word,group,count
network,1,274
image,1,267
3d,1,225
learning,1,223
model,1,219
method,1,214
propose,1,195
images,2,189
methods,2,189
data,2,174
training,2,168
stateoftheart,2,159
approach,2,155
proposed,2,155
deep,3,149
object,3,144
performance,3,141
results,3,140
dataset,3,133
show,3,128
networks,3,127
paper,4,122
detection,4,121
domain,4,121
models,4,120
datasets,4,119
pose,4,117
neural,4,116
problem,5,113
demonstrate,5,110
information,5,109
segmentation,5,108
visual,5,107
experiments,5,103
point,5,102
based,6,101
video,6,98
