word,group,count
provide,1,103
develop,1,88
make,1,68
include,1,62
create,1,54
build,1,50
base,1,46
offer,1,40
work,1,38
design,2,35
enable,2,32
reduce,2,29
protect,2,24
produce,2,24
increase,2,22
save,2,19
improve,2,18
lead,2,18
deliver,3,17
integrate,3,17
focus,3,16
bring,3,16
track,3,16
connect,3,15
exist,3,15
achieve,3,14
pending,3,14
grow,3,14
meet,4,14
require,4,13
eliminate,4,13
collect,4,13
run,4,12
test,4,12
utilize,4,12
serve,4,12
manufacture,4,11
combine,4,11
find,5,11
deploy,5,11
generate,5,11
give,5,11
support,5,11
understand,5,11
reach,5,11
operate,5,10
change,5,10
sell,5,10
ensure,6,10
seek,6,9
