word,group,count
propose,1,820
show,1,801
learn,1,730
provide,1,361
demonstrate,1,343
achieve,1,329
train,1,311
exist,1,282
base,1,260
improve,1,251
give,1,237
introduce,1,214
require,1,197
study,1,194
find,2,193
prove,2,175
present,2,171
develop,2,170
make,2,165
solve,2,163
compare,2,161
outperform,2,151
generate,2,143
lead,2,143
include,2,140
obtain,2,135
apply,2,126
perform,2,120
design,3,119
estimate,3,113
compute,3,107
model,3,105
evaluate,3,105
call,3,103
enable,3,101
reduce,3,99
identify,3,97
sample,3,97
derive,3,96
learning,3,94
address,3,93
establish,3,91
leverage,4,88
analyze,4,87
set,4,76
optimize,4,75
generalize,4,73
extend,4,73
combine,4,72
define,4,71
challenge,4,70
minimize,4,70
observe,4,70
focus,4,70
investigate,4,67
match,4,65
maximize,5,64
construct,5,64
result,5,64
produce,5,61
exploit,5,58
approximate,5,57
capture,5,57
predict,5,57
represent,5,57
remain,5,56
increase,5,55
choose,5,54
characterize,5,52
explore,5,51
implement,6,51
incorporate,6,51
assume,6,49
