word,group,count
build,1,64
include,1,49
make,1,40
s,1,39
provide,1,30
create,1,25
lead,1,25
work,1,24
offer,1,21
grow,1,20
back,2,18
founded,2,18
automate,2,17
enable,2,17
deliver,2,15
start,2,14
connect,2,14
design,2,13
learn,2,13
run,2,12
focus,2,11
manage,3,11
raise,3,11
find,3,11
give,3,10
drive,3,10
increase,3,9
empower,3,9
develop,3,9
serve,3,9
improve,3,9
found,3,8
base,4,8
power,4,8
track,4,7
launch,4,7
support,4,7
trust,4,7
pay,4,6
process,4,6
simplify,4,6
bring,4,6
buy,4,6
save,5,5
send,5,5
headquartered,5,5
commit,5,5
discover,5,5
identify,5,5
optimize,5,5
solve,5,5
headquarter,5,5
operate,5,5
join,5,5
check,6,5
change,6,4
