word,group,count
political,1,255
social,1,254
public,1,160
big,1,143
recent,1,142
democratic,1,112
antitrust,1,105
chinese,2,105
long,2,105
clear,2,102
free,2,102
major,2,97
back,2,96
ve,2,95
good,2,89
presidential,3,87
early,3,87
facial,3,87
small,3,77
american,3,76
tech,3,75
federal,3,75
online,3,69
important,3,68
earlier,4,68
civil,4,66
potential,4,65
recently,4,65
large,4,62
private,4,62
financial,4,58
false,4,58
independent,4,57
potentially,5,57
popular,5,56
digital,5,55
national,5,55
mailin,5,52
m,5,51
biggest,5,50
general,5,50
conservative,5,50
similar,6,50
real,6,49
