word,group,count
s,1,1187
make,1,506
include,1,267
work,1,222
call,1,216
give,1,193
don,1,141
announce,1,130
vote,1,124
find,1,122
accord,1,117
build,1,115
sell,1,115
start,1,113
show,1,112
create,1,112
run,1,111
win,1,106
happen,1,105
pay,1,101
put,1,99
face,1,98
change,1,98
set,1,97
write,1,96
argue,1,94
lead,1,94
continue,1,89
spend,1,87
report,1,83
add,1,82
grow,1,80
follow,1,77
ban,1,77
remove,1,77
turn,1,76
send,1,74
launch,1,74
stop,1,74
expect,1,73
doesn,1,72
focus,1,72
offer,2,71
talk,2,70
post,2,70
require,2,69
spread,2,69
track,2,66
move,2,66
leave,2,66
collect,2,65
moderate,2,63
reach,2,63
provide,2,62
didn,2,61
exist,2,61
claim,2,59
produce,2,59
raise,2,58
explain,2,57
share,2,56
target,2,55
end,2,54
promote,2,54
decide,2,53
force,2,51
protect,2,51
feel,2,51
remain,2,50
watch,2,50
bring,2,48
receive,2,48
violate,2,47
increase,2,47
speak,2,47
regulate,2,47
support,2,45
hear,2,45
respond,2,45
read,2,45
release,2,44
involve,2,44
handle,2,43
identify,2,43
prevent,2,43
expand,3,43
test,3,43
suggest,3,42
encourage,3,42
t,3,42
worry,3,42
develop,3,41
organize,3,41
reduce,3,40
block,3,40
hold,3,40
enforce,3,40
sign,3,39
live,3,39
push,3,39
trace,3,39
accuse,3,38
choose,3,38
buy,3,38
engage,3,37
question,3,37
limit,3,37
base,3,37
issue,3,37
apply,3,37
register,3,36
relate,3,36
introduce,3,36
understand,3,35
break,3,35
address,3,35
censor,3,35
compete,3,35
operate,3,35
threaten,3,35
plan,3,34
deal,3,34
cite,3,34
fight,3,34
draw,3,33
point,3,33
begin,3,33
design,3,32
link,4,32
control,4,32
learn,4,31
represent,4,31
compare,4,31
extend,4,31
shut,4,30
maintain,4,30
charge,4,30
play,4,29
stay,4,29
sue,4,29
criticize,4,29
enable,4,29
lose,4,28
listen,4,28
serve,4,27
improve,4,27
suppose,4,27
aren,4,27
file,4,27
concern,4,26
affect,4,26
agree,4,26
trust,4,26
publish,4,26
warn,4,26
influence,4,25
fail,4,25
pass,4,25
meet,4,25
struggle,4,25
avoid,4,25
advertise,4,25
cut,4,25
stand,4,25
decline,4,24
delete,4,24
measure,4,24
prove,4,24
figure,4,24
return,4,24
weren,4,24
isn,5,24
monitor,5,24
aim,5,23
rely,5,23
generate,5,23
email,5,23
treat,5,23
cast,5,22
manage,5,22
refuse,5,22
back,5,22
hop,5,22
acknowledge,5,22
note,5,22
host,5,22
seek,5,22
attract,5,22
purchase,5,22
commit,5,22
demand,5,21
update,5,21
describe,5,21
donate,5,21
impact,5,21
pose,5,21
amplify,5,21
contribute,5,21
close,5,21
deny,5,21
solve,5,21
rise,5,20
delay,5,20
wouldn,5,20
fire,5,20
propose,5,20
wait,5,20
feature,5,20
related,5,20
label,5,20
join,5,20
save,5,20
wear,5,20
prepare,5,19
