word,group,count
data,1,95
security,1,94
defense,1,81
technology,1,79
solutions,1,71
platform,1,64
services,2,62
company,2,59
customers,2,56
business,2,51
software,2,48
systems,2,48
team,2,47
management,3,46
intelligence,3,46
companies,3,44
development,3,43
world,3,40
products,3,39
make,3,37
design,4,36
work,4,35
cloud,4,33
product,4,32
engineering,4,32
industry,4,32
provide,4,32
government,5,31
clients,5,31
information,5,31
support,5,30
network,5,30
organizations,5,30
applications,5,30
mission,6,28
