word,group,count
global,1,20
mobile,1,20
digital,1,19
large,1,17
easy,1,16
fast,1,16
small,1,15
great,2,14
financial,2,14
online,2,13
local,2,12
single,2,11
top,2,11
real,2,10
free,2,10
high,2,9
good,3,9
accessible,3,8
open,3,8
entire,3,7
fully,3,7
ecommerce,3,6
multiple,3,6
legal,3,6
full,3,6
modern,4,6
scalable,4,6
highly,4,6
faster,4,6
innovative,4,5
realtime,4,5
seamless,4,5
retail,4,5
leading,5,5
current,5,5
healthy,5,5
difficult,5,5
endtoend,5,5
powerful,5,5
personal,5,5
optimizely,5,5
nt,5,5
critical,6,4
