word,group,count
platform,1,71
businesses,1,51
company,1,45
software,1,44
companies,1,43
technology,1,41
capital,2,36
data,2,35
building,2,34
customers,2,34
business,2,33
world,2,33
people,2,30
build,3,30
including,3,30
work,3,29
online,3,28
founded,3,27
payments,3,27
customer,3,25
team,4,25
experience,4,24
products,4,23
global,4,23
san,4,23
leading,4,23
y,4,23
francisco,5,22
time,5,22
partners,5,22
combinator,5,22
ventures,5,21
backed,5,20
mission,5,20
digital,6,20
mobile,6,20
make,6,20
worlds,6,19
