word,group,count
social,1,324
political,1,303
public,1,224
big,1,163
chinese,1,162
recent,1,160
long,1,143
free,1,130
federal,1,127
antitrust,1,121
democratic,1,121
facial,2,120
major,2,119
clear,2,118
back,2,118
private,2,114
human,2,112
good,2,112
small,2,109
american,2,108
early,2,107
presidential,2,106
civil,2,94
large,2,92
online,3,92
tech,3,91
potential,3,88
important,3,86
personal,3,84
earlier,3,82
internal,3,80
recently,3,80
potentially,3,75
national,3,71
similar,3,71
real,3,71
digital,3,69
financial,3,69
past,4,66
popular,4,66
false,4,66
local,4,65
specific,4,64
independent,4,62
corporate,4,62
global,4,61
legal,4,61
directly,4,60
previously,4,60
ll,4,59
controversial,4,57
bad,4,57
hard,5,57
late,5,56
m,5,56
ago,5,56
simply,5,56
artificial,5,55
powerful,5,55
racial,5,54
general,5,54
increasingly,5,54
quickly,5,54
sensitive,5,52
direct,5,52
conservative,5,52
mailin,6,52
significant,6,51
biggest,6,50
foreign,6,49
