word,group,count
contract,1,2803
work,1,1904
awarded,1,1874
contracting,1,1855
fiscal,1,1775
defense,1,1693
activity,1,1541
time,1,1473
air,1,1457
funds,1,1437
award,1,1413
2019,1,1371
force,1,1328
military,1,1295
systems,1,1231
obligated,1,1214
support,1,1212
performed,1,1183
percent,1,1101
amount,1,1096
navy,1,1092
services,1,1003
command,1,975
army,1,907
expected,1,818
operations,1,806
modification,1,788
naval,1,761
year,1,760
received,1,758
virginia,1,758
firmfixedprice,1,740
california,1,721
date,1,714
order,1,706
base,1,704
completion,1,690
maintenance,1,664
security,1,661
acquisition,1,647
technology,1,634
development,1,632
end,1,593
research,1,574
completed,1,574
system,1,568
performance,1,557
engineering,1,548
estimated,1,543
current,1,526
corps,1,522
2020,1,509
people,1,502
world,1,500
department,1,489
future,1,483
dod,1,479
program,1,476
aircraft,1,475
maryland,1,469
construction,1,465
today,1,462
funding,1,455
expire,1,454
task,1,451
procurement,1,449
united,1,448
working,1,444
years,1,438
center,1,434
q,1,430
make,1,427
option,1,423
secretary,1,423
management,1,419
federal,1,418
budget,1,417
test,1,412
marine,1,397
llc,1,397
2024,1,397
business,2,387
service,2,383
texas,2,382
states,2,381
washington,2,372
agency,2,368
previously,2,367
warfare,2,364
capabilities,2,363
indefinitedeliveryindefinitequantity,2,363
solicited,2,363
provide,2,344
training,2,343
mission,2,341
florida,2,338
logistics,2,333
period,2,329
forces,2,328
continue,2,328
including,2,327
space,2,320
capital,2,315
locations,2,314
joint,2,313
national,2,311
missile,2,310
im,2,310
weve,2,309
10,2,308
general,2,300
1,2,299
competitively,2,293
foreign,2,292
nuclear,2,291
san,2,291
procured,2,289
information,2,284
internet,2,281
corp,2,281
facilities,2,277
north,2,277
strategic,2,276
bids,2,276
march,2,274
orders,2,273
challenges,2,272
costplusfixedfee,2,272
software,2,271
war,2,270
region,2,270
2018,2,267
data,2,266
allies,2,266
technologies,2,265
2021,2,263
evaluation,2,263
important,2,262
equipment,2,261
design,2,256
government,2,254
advanced,2,252
alabama,2,252
sales,2,248
june,2,248
fort,2,248
complete,2,243
china,2,240
isil,2,238
competitive,2,235
control,2,234
july,2,233
2017,2,231
theyre,2,231
innovation,2,228
part,2,227
type,2,226
delivery,2,222
things,2,221
weapons,2,221
maximum,2,221
technical,2,220
great,2,220
pennsylvania,3,220
30,3,219
includes,3,219
sea,3,218
partners,3,217
operational,3,217
include,3,216
website,3,216
total,3,215
international,3,213
life,3,213
dont,3,213
face,3,213
offers,3,211
change,3,210
ensure,3,209
good,3,209
country,3,208
engineers,3,205
production,3,204
river,3,204
opportunities,3,203
diego,3,202
billion,3,200
31,3,198
2022,3,198
electronic,3,197
made,3,197
nations,3,197
innovative,3,196
strategy,3,194
areas,3,193
requirements,3,193
solutions,3,192
york,3,192
issued,3,190
back,3,190
cyber,3,189
long,3,189
appropriation,3,189
projects,3,188
code,3,187
south,3,187
small,3,186
power,3,186
sec,3,184
cumulative,3,184
intelligence,3,183
combat,3,183
2,3,183
ground,3,182
enterprise,3,181
massachusetts,3,180
determined,3,180
periods,3,178
options,3,177
critical,3,177
proposals,3,176
repair,3,175
division,3,175
inaudible,3,175
building,3,174
staff,3,174
nato,3,174
patuxent,3,173
columbia,3,172
