word,group,count
contract,1,2795
work,1,1871
awarded,1,1870
contracting,1,1851
fiscal,1,1775
defense,1,1609
activity,1,1534
air,1,1434
funds,1,1433
time,1,1420
award,1,1411
2019,1,1369
force,1,1321
obligated,1,1214
military,1,1190
support,1,1186
performed,1,1183
systems,1,1130
percent,1,1101
amount,1,1094
navy,1,1086
command,1,970
services,1,936
army,1,899
expected,1,818
modification,1,788
operations,1,786
naval,1,761
received,1,758
virginia,1,758
year,1,751
firmfixedprice,1,740
california,1,721
date,1,713
base,1,698
order,1,692
completion,1,690
maintenance,1,654
acquisition,1,645
development,1,588
end,1,582
security,1,574
completed,1,572
research,1,545
estimated,1,541
performance,1,527
corps,1,521
engineering,1,518
2020,1,506
current,1,504
technology,1,495
department,1,478
people,1,470
dod,1,469
maryland,1,469
future,1,468
system,1,467
program,1,461
construction,1,459
aircraft,1,457
today,1,455
expire,1,454
world,1,451
task,1,449
procurement,1,447
funding,1,446
united,1,439
q,1,430
center,1,428
secretary,1,422
option,1,421
working,1,419
budget,1,417
years,1,416
federal,1,411
test,2,410
make,2,401
2024,2,397
management,2,392
marine,2,390
llc,2,389
texas,2,381
states,2,374
washington,2,370
agency,2,365
previously,2,363
indefinitedeliveryindefinitequantity,2,363
solicited,2,363
warfare,2,359
service,2,355
business,2,345
capabilities,2,345
florida,2,338
logistics,2,329
period,2,326
continue,2,325
forces,2,319
mission,2,316
locations,2,312
capital,2,311
im,2,310
joint,2,309
training,2,308
missile,2,307
weve,2,305
10,2,301
national,2,298
including,2,295
general,2,294
competitively,2,292
provide,2,292
foreign,2,290
san,2,290
procured,2,289
1,2,283
corp,2,280
nuclear,2,279
north,2,277
bids,2,276
facilities,2,275
costplusfixedfee,2,272
orders,2,271
march,2,271
internet,2,270
region,2,269
strategic,2,269
space,2,268
allies,2,266
2018,2,264
evaluation,2,263
challenges,2,263
war,2,263
2021,2,262
important,2,254
alabama,2,252
information,2,248
june,2,248
fort,2,248
sales,2,242
china,2,240
equipment,2,239
isil,2,238
complete,2,233
government,2,231
theyre,2,231
july,2,230
2017,2,229
competitive,2,223
part,2,221
type,2,221
pennsylvania,2,220
software,3,219
maximum,3,218
delivery,3,215
30,3,215
technologies,3,213
total,3,213
things,3,213
includes,3,212
weapons,3,211
partners,3,211
operational,3,210
face,3,209
website,3,208
control,3,208
advanced,3,208
great,3,208
dont,3,208
innovation,3,207
country,3,207
good,3,207
sea,3,205
river,3,204
technical,3,203
diego,3,202
international,3,202
ensure,3,202
2022,3,198
change,3,198
opportunities,3,197
31,3,197
engineers,3,197
billion,3,196
nations,3,195
offers,3,193
design,3,192
york,3,191
strategy,3,191
include,3,190
issued,3,189
appropriation,3,189
life,3,188
long,3,186
south,3,186
back,3,185
cumulative,3,184
electronic,3,184
production,3,183
code,3,183
sec,3,183
requirements,3,181
massachusetts,3,180
determined,3,180
areas,3,178
periods,3,177
projects,3,176
made,3,175
inaudible,3,175
options,3,174
proposals,3,174
division,3,174
nato,3,174
patuxent,3,173
columbia,3,171
innovative,3,171
combat,3,170
repair,3,169
ohio,3,168
enterprise,3,167
iraq,3,167
lot,3,167
cyber,3,166
staff,3,166
ground,3,165
president,3,163
data,3,162
illinois,3,162
2,4,162
carolina,4,162
point,4,162
bring,4,161
small,4,161
critical,4,161
april,4,160
investments,4,160
oneyear,4,158
syria,4,157
ways,4,157
question,4,157
american,4,156
f35,4,156
power,4,155
americas,4,155
afghanistan,4,154
building,4,154
forward,4,154
district,4,153
arizona,4,153
agreement,4,152
result,4,152
exercised,4,151
network,4,149
efforts,4,149
ive,4,149
office,4,148
fy,4,148
making,4,148
exercise,4,147
arsenal,4,147
full,4,146
ordering,4,146
individual,4,145
women,4,145
mattis,4,143
potential,4,143
multiple,4,140
regulation,4,139
integration,4,139
solesource,4,138
turkey,4,138
youre,4,138
intelligence,4,136
missouri,4,136
lord,4,136
philadelphia,4,135
effort,4,135
korea,4,134
city,4,133
project,4,133
threats,4,133
2023,4,132
hawaii,4,132
number,4,132
programs,4,131
capability,4,131
leadership,4,131
contracts,4,130
location,4,130
asiapacific,4,130
russia,4,129
solutions,4,128
jersey,4,128
area,4,128
congress,4,128
build,4,127
additional,4,126
tactical,4,126
pacific,4,125
fight,4,124
michigan,4,123
readiness,4,123
east,4,122
martin,4,122
high,5,122
surface,5,122
global,5,121
europe,5,121
leaders,5,121
nation,5,121
cloud,5,121
commitment,5,120
integrated,5,119
countries,5,119
source,5,118
bid,5,118
range,5,117
civilian,5,117
men,5,117
lockheed,5,116
group,5,116
campaign,5,116
5,5,115
sustainment,5,115
georgia,5,115
increase,5,114
energy,5,114
request,5,113
deterrence,5,113
facility,5,112
pentagon,5,112
ago,5,112
3,5,111
open,5,111
months,5,111
fact,5,111
put,5,111
guard,5,110
personnel,5,110
coming,5,110
20,5,109
meet,5,109
commercial,5,108
ill,5,108
talk,5,108
day,5,108
ii,5,107
plan,5,107
special,5,107
address,5,106
colorado,5,106
approach,5,106
cycle,5,105
regional,5,105
land,5,104
norfolk,5,104
opportunity,5,104
give,5,104
63021,5,103
planning,5,103
25,5,103
stay,5,103
compete,5,102
action,5,102
strong,5,102
customers,5,101
existing,5,101
environment,5,101
clear,5,101
technological,5,101
friends,5,101
minister,5,101
maritime,5,100
primarily,5,100
serve,5,100
beach,5,100
industry,5,100
thing,5,100
troops,5,100
basic,5,99
