word,group,count
facebook,1,1171
company,1,795
people,1,661
trump,1,553
google,1,553
companies,1,525
data,1,487
amazon,1,428
tech,1,409
media,1,397
time,1,380
information,1,362
content,1,350
users,1,349
election,1,339
social,1,331
app,1,315
technology,1,306
political,1,305
told,1,299
work,1,294
public,1,293
government,1,287
privacy,1,286
law,1,278
tiktok,1,266
million,1,255
platform,1,254
twitter,1,254
years,1,251
apple,1,248
year,1,245
including,1,244
news,1,240
business,1,238
recode,1,233
president,1,227
employees,1,219
groups,1,218
internet,1,216
make,1,215
big,1,209
made,1,209
ads,1,207
states,1,205
facebooks,1,203
search,1,203
platforms,1,202
state,1,197
dont,1,196
surveillance,1,196
rights,1,194
online,1,193
project,1,192
world,1,192
police,1,192
report,1,188
chinese,1,185
campaign,1,184
security,1,184
access,1,183
part,1,182
called,1,180
companys,1,176
percent,1,173
post,1,173
section,1,170
china,1,166
federal,1,166
health,1,163
back,1,162
recent,1,161
case,1,161
power,1,160
doesnt,1,157
apps,1,157
group,1,156
democratic,1,154
trumps,1,152
recognition,1,152
misinformation,1,151
microsoft,1,149
months,1,147
policy,1,146
theyre,1,145
pandemic,1,145
speech,1,143
money,1,142
american,1,142
free,1,141
video,1,141
voting,2,140
ceo,2,140
open,2,140
2020,2,139
long,2,138
announced,2,138
support,2,135
antitrust,2,134
netflix,2,134
intercept,2,134
human,2,132
clear,2,131
covid19,2,131
230,2,130
working,2,130
change,2,129
democrats,2,126
zuckerberg,2,126
network,2,126
biden,2,125
enforcement,2,125
vote,2,125
department,2,124
week,2,123
number,2,123
facial,2,123
ad,2,121
civil,2,121
york,2,120
2016,2,120
day,2,119
major,2,119
order,2,116
voter,2,116
today,2,115
posts,2,115
private,2,115
intelligence,2,115
party,2,114
national,2,114
past,2,114
concerns,2,113
system,2,112
spokesperson,2,112
services,2,112
billion,2,111
lot,2,111
things,2,110
set,2,109
making,2,109
policies,2,109
united,2,109
store,2,108
presidential,2,107
statement,2,107
face,2,107
instagram,2,107
leaders,2,106
service,2,105
small,2,105
voters,2,104
didnt,2,104
show,2,103
good,2,103
user,2,103
hate,2,102
customers,2,102
early,2,102
walmart,2,102
act,2,101
program,2,101
phone,2,101
efforts,2,99
stop,2,99
research,2,99
email,2,99
americans,2,98
systems,2,98
put,2,98
house,2,98
home,2,97
millions,2,97
plan,2,96
potential,2,96
found,2,95
month,2,95
fact,2,95
advertising,2,95
members,2,94
team,2,94
times,2,92
claims,2,92
googles,3,92
issues,3,92
board,3,92
climate,3,91
future,3,91
point,3,91
spread,3,91
digital,3,90
amazons,3,90
software,3,90
end,3,89
earlier,3,89
republican,3,89
story,3,89
reported,3,89
isnt,3,89
rules,3,88
sourced,3,88
coronavirus,3,88
move,3,88
silicon,3,87
tool,3,87
mark,3,87
industry,3,87
congress,3,87
experts,3,87
devices,3,87
important,3,86
republicans,3,86
ban,3,86
wrote,3,86
justice,3,86
history,3,85
track,3,85
country,3,85
personal,3,84
protests,3,84
valley,3,83
share,3,83
call,3,83
hearing,3,83
global,3,83
place,3,82
means,3,82
results,3,82
recently,3,81
days,3,81
sources,3,81
center,3,81
process,3,81
documents,3,81
run,3,80
algorithms,3,80
stories,3,80
internal,3,80
cameras,3,80
question,3,79
white,3,79
court,3,79
related,3,78
letter,3,78
asked,3,78
person,3,78
launch,3,78
black,3,78
engine,3,78
wont,3,78
fcc,3,78
committee,3,77
questions,3,77
politicians,3,77
executive,3,77
account,3,77
problem,3,76
organizations,3,76
financial,3,76
agencies,3,76
2018,3,76
bias,3,76
website,3,75
cases,3,75
products,3,75
images,3,75
california,3,75
youre,3,75
bezos,3,75
potentially,3,75
large,3,74
ways,3,74
press,3,74
pay,3,74
general,3,73
kind,4,73
source,4,73
practices,4,73
control,4,73
target,4,73
market,4,72
weeks,4,72
real,4,71
response,4,71
similar,4,71
idea,4,71
makes,4,70
lawmakers,4,70
administration,4,70
started,4,70
journalists,4,69
matter,4,69
threat,4,69
local,4,69
deal,4,69
false,4,69
based,4,69
provide,4,69
find,4,69
im,4,69
sellers,4,69
laws,4,69
top,4,68
accounts,4,68
popular,4,68
contact,4,68
designed,4,67
give,4,67
giants,4,66
qanon,4,66
build,4,65
tuesday,4,65
action,4,65
independent,4,65
specific,4,65
bill,4,65
june,4,65
legal,4,65
calls,4,65
communications,4,65
issue,4,64
ago,4,64
vox,4,64
feature,4,64
comment,4,63
censorship,4,63
3,4,63
product,4,63
page,4,63
sell,4,63
card,4,63
details,4,62
plans,4,62
30,4,62
evidence,4,62
site,4,62
decision,4,62
continue,4,62
corporate,4,62
gift,4,62
hours,4,61
competitors,4,61
wechat,4,61
previously,4,60
2017,4,60
calling,4,60
reach,4,60
directly,4,60
built,4,59
launched,4,59
behavior,4,59
employee,4,59
websites,4,59
conspiracy,4,59
concern,4,58
washington,4,58
impact,4,58
july,4,58
request,4,58
simply,4,58
videos,4,58
risk,4,58
cards,4,58
palantir,4,58
lincoln,4,58
2019,4,57
shows,4,57
controversial,5,57
added,5,57
august,5,57
elections,5,57
feel,5,57
giant,5,57
foreign,5,57
businesses,5,57
hard,5,57
crisis,5,57
artificial,5,57
sen,5,56
left,5,56
role,5,56
reason,5,56
whats,5,56
donald,5,56
wednesday,5,56
1,5,56
school,5,56
10,5,56
create,5,56
thing,5,56
contract,5,56
biggest,5,55
worked,5,55
effort,5,55
ability,5,55
director,5,55
latest,5,55
researchers,5,55
powerful,5,55
shared,5,55
office,5,55
allowed,5,55
existing,5,55
direct,5,55
transparency,5,54
targeted,5,54
university,5,54
increasingly,5,54
quickly,5,54
countries,5,54
officials,5,54
event,5,54
selling,5,54
warren,5,54
censored,5,54
study,5,54
consumers,5,54
racial,5,54
october,5,53
campaigns,5,53
turn,5,53
record,5,53
governments,5,53
conservative,5,53
mailin,5,53
instance,5,53
longer,5,53
list,5,52
released,5,52
giving,5,52
politics,5,52
race,5,52
disinformation,5,52
workers,5,52
messages,5,52
violence,5,52
100,5,52
sensitive,5,52
creating,5,52
registration,5,52
records,5,52
defense,5,52
helped,5,51
bad,5,51
democracy,5,51
worth,5,51
significant,5,51
stores,5,51
inside,5,51
web,5,51
influence,5,50
targeting,5,50
youtube,5,50
theyve,5,50
read,5,50
offer,5,50
firm,5,50
protest,5,50
authorities,5,50
device,6,50
thiel,6,50
interest,6,49
