word,group,count
make,1,187
build,1,185
provide,1,131
include,1,109
create,1,93
enable,1,76
work,1,75
lead,1,70
grow,2,69
offer,2,62
connect,2,59
give,2,50
find,2,49
design,2,46
deliver,2,46
manage,2,41
learn,2,40
back,2,40
base,3,39
focus,3,39
drive,3,38
bring,3,37
start,3,35
automate,3,34
improve,3,33
develop,3,33
buy,3,31
sell,3,31
launch,4,30
founded,4,29
empower,4,29
solve,4,27
run,4,27
increase,4,25
send,4,25
optimize,4,23
ve,4,22
combine,4,22
serve,5,22
support,5,21
hire,5,21
found,5,21
change,5,21
reduce,5,21
save,5,21
power,5,21
transform,5,21
scale,5,20
leverage,6,20
call,6,20
set,6,20
pay,6,19
