word,group,count
award,1,1815
perform,1,1237
obligate,1,1221
provide,1,902
make,1,827
expect,1,798
include,1,778
work,1,685
complete,1,604
receive,1,566
estimate,2,503
continue,2,501
expire,2,454
solicit,2,366
support,2,363
bring,2,300
develop,2,296
ensure,2,279
exercise,2,273
build,2,248
give,2,225
serve,3,222
m,3,211
determine,3,199
increase,3,193
issue,3,193
procure,3,193
change,3,181
meet,3,174
talk,3,174
create,3,168
call,3,165
require,3,161
fund,4,156
put,4,153
focus,4,150
start,4,146
improve,4,144
protect,4,141
maintain,4,140
invest,4,140
lead,4,139
stand,4,136
remain,4,135
address,4,132
face,5,128
base,5,127
enable,5,124
exist,5,122
defend,5,121
compete,5,119
strengthen,5,118
operate,5,116
stay,5,115
begin,5,113
design,5,108
grow,5,108
find,6,106
combine,6,98
