Title,Name_URL,Tag1,Tag2,column,Follow
Innovein (YC W16),https://angel.co/company/innovein-yc-w16,San Carlos,Medical Devices,"
Jun ’16
","
178
"
Kid Koderz City,https://angel.co/company/kid-koderz-city,Toronto,Technology,"
Jun ’16
","
26
"
VoiceOps,https://angel.co/company/voiceops,San Francisco,Sales Automation,"
Jun ’16
","
498
"
BIOS,https://angel.co/company/bioshealth,Cambridge,Neuroscience,"
Mar ’17
","
61
"
Mux,https://angel.co/company/mux,San Francisco,Video Streaming,"
Sep ’16
","
103
"
Joymode,https://angel.co/company/joymode,Outdoors,,"
Oct ’16
","
58
"
Triplebyte,https://angel.co/company/triplebyte,San Francisco,Human Resources,"
Jul ’15
","
142
"
Supercharger Studio,https://angel.co/company/supercharger-studio,New York City,Web Design,"
May ’15
","
25
"
Latch,https://angel.co/company/latch,San Francisco,Internet of Things,"
May ’15
","
552
"
Skillshare,https://angel.co/company/skillshare,Medellín,Creative Industries,"
Oct ’10
","
2567
"
Gojimo,https://angel.co/company/gojimo,London,K-12 Education,"
Feb ’14
","
68
"
Skurt,https://angel.co/company/skurt,Los Angeles,Online Travel,"
May ’15
","
833
"
Next Force Technology,https://angel.co/company/next-force-technology,Palo Alto,B2B · SaaS · Mobile · Artificial Intelligence / Machine Learning,"
May ’15
","
210
"
Roam Analytics,https://angel.co/company/roam-analytics,San Mateo,Machine Learning,"
Sep ’15
","
221
"
Rappi,https://angel.co/company/rappi,Miguel Hidalgo,Restaurants,"
May ’15
","
200
"
Flip,https://angel.co/company/livewithflip,New York City,Rental Housing,"
May ’15
","
282
"
Luminostics,https://angel.co/company/luminostics,San Jose,Medical Devices,"
Jul ’15
","
102
"
Edify,https://angel.co/company/edifytech,Remote,Cloud-Based Music,"
Jun ’15
","
142
"
Lawn Love Lawn Care,https://angel.co/company/lawn-love,San Diego,Service Industries,"
May ’14
","
327
"
SABR.io,https://angel.co/company/sabr-io,Mountain View,Governments,"
Jul ’15
","
116
"
InsightSquared,https://angel.co/company/insightsquared,Austin,Small and Medium Businesses,"
Oct ’10
","
403
"
VentureApp,https://angel.co/company/ventureapp,Boston,Boston,"
Jul ’15
","
133
"
Clef,https://angel.co/company/clef,Oakland,Identity Management,"
Feb ’13
","
719
"
Connect.com,https://angel.co/company/connect,San Francisco,Location Based Services,"
Aug ’12
","
783
"
Love With Food,https://angel.co/company/love-with-food,Silicon Valley,Market Research,"
Oct ’11
","
827
"
Intercom,https://angel.co/company/intercom,Sydney,Messaging,"
May ’11
","
872
"
Hipmunk,https://angel.co/company/hipmunk,San Francisco,Hotels,"
Mar ’15
","
549
"
Ekso Bionics,https://angel.co/company/ekso-bionics,Richmond,Medical Devices,"
Nov ’10
","
621
"
Ready Education,https://angel.co/company/oohlala-mobile,Montreal,Higher Education,"
Oct ’11
","
178
"
Automatic,https://angel.co/company/automatic,San Francisco,User Experience Design,"
Nov ’11
","
1084
"
Accountable,https://angel.co/company/accountable,Fort Worth,Small and Medium Businesses,"
Mar ’13
","
303
"
Cover,https://angel.co/company/cover,New York City,Restaurants,"
Mar ’13
","
2142
"
Haiku Deck,https://angel.co/company/haiku-deck,Seattle,Productivity Software,"
Jul ’15
","
56
"
Whitepages,https://angel.co/company/whitepages-1,Seattle,Fraud Detection,"
Mar ’14
","
34
"
Small Demons,https://angel.co/company/small-demons,Los Angeles,Data Mining,"
Nov ’11
","
308
"
Divide,https://angel.co/company/divide,New York City,Enterprise Software,"
Jul ’10
","
173
"
The Climate Corporation,https://angel.co/company/the-climate,San Francisco,Risk Management,"
Jul ’12
","
328
"
Hootsuite,https://angel.co/company/hootsuite,Vancouver,Messaging,"
Apr ’12
","
493
"
Circle Medical,https://angel.co/company/circle-medical,San Francisco,Fitness,"
Aug ’15
","
455
"
B12,https://angel.co/company/b12,New York City,Small and Medium Businesses,"
Aug ’15
","
332
"
Bloc,https://angel.co/company/bloc,San Francisco,Education,"
Dec ’11
","
491
"
Votion,https://angel.co/company/votion,Sausalito,Social Media Marketing,"
Jan ’16
","
122
"
ZeroCater,https://angel.co/company/zerocater,Austin,Hospitality,"
Feb ’13
","
772
"
Simon Data,https://angel.co/company/simon-data,Remote,Data Integration,"
Jan ’16
","
555
"
Miso,https://angel.co/company/getyourmiso,Seoul,Bridging Online and Offline,"
Jan ’16
","
35
"
OpenX,https://angel.co/company/openx,Pasadena,Advertising Exchanges,"
Oct ’14
","
97
"
Sudden Coffee (YC W17),https://angel.co/company/sudden-coffee,San Francisco,Mobile Commerce,"
Jan ’16
","
119
"
Hoodline,https://angel.co/company/hoodline,San Francisco,Local Businesses,"
Mar ’16
","
63
"
KINETIC,https://angel.co/company/kinetic,Saratoga Springs,B2B,"
Feb ’15
","
553
"
Cloudera,https://angel.co/company/cloudera,Palo Alto,Big Data Analytics,"
Sep ’12
","
381
"
Udemy,https://angel.co/company/udemy,San Francisco,Marketplaces,"
Jul ’10
","
1779
"
Flipkart,https://angel.co/company/flipkart,Bengaluru,Online Shopping,"
Jan ’12
","
1214
"
AirCare,https://angel.co/company/orchestra-one,San Francisco,Health Care Information Technology,"
Jun ’16
","
131
"
Truebill,https://angel.co/company/truebill,San Francisco,Personal Finance,"
Jan ’16
","
236
"
Dollar Shave Club,https://angel.co/company/dollar-shave-club,Santa Monica,Beauty,"
Sep ’11
","
1724
"
Boon + Gable,https://angel.co/company/boon-gable,San Francisco,E-Commerce,"
Jan ’16
","
136
"
Comcast,https://angel.co/company/comcast,Philadelphia,Web Hosting,"
Jan ’12
","
1405
"
Home Delivery Service (HDS Global),https://angel.co/company/home-delivery-service,Palo Alto,Retail,"
Nov ’12
","
274
"
